DBN,School Name,Borough,District,Grade Span,Enrollment,ELA Students Tested,ELA Mean Scale Score,ELA % Proficient,ELA % Level 4,ELA Proficiency Percentile (NYC Schools),Math Students Tested,Math Mean Scale Score,Math % Proficient,Math % Level 4,Math Proficiency Percentile (NYC Schools),Average % Proficient,Average Proficiency Percentile (NYC Schools),% Asian and Pacific Islander,% Black,% Hispanic,% White,% Multi-Racial,% Native American,% Students with Disabilities,% English Language Learners,% Poverty,Economic Need Index
16K627,Brighter Choice Community School,Brooklyn,16,3K-5,218,76,444.6,46.1,21.1,51.3,81,446.9,45.7,14.8,31.6,45.9,41.5,2.8,42.2,42.2,7.3,4.1,1.4,19.7,12.4,71.1,79.3
24Q229,P.S. 229 Emanuel Kaplan,Queens,24,PK-5,1027,508,441.4,38.4,15.2,39.1,516,452.9,53.3,19.6,43.4,45.8,41.2,38.3,0.9,47.6,11.5,1.2,0.6,22.2,18.4,68.0,66.5
31R038,P.S. 038 George Cromwell,Staten Island,31,3K-5,339,163,442.2,31.3,12.9,24.2,158,455.5,60.1,19.0,54.7,45.7,39.4,33.6,3.5,31.9,29.5,1.2,0.3,21.5,27.1,79.4,75.0
30Q329,East Elmhurst Community School,Queens,30,K-5,415,201,441.7,41.8,10.4,45.6,201,450.8,49.3,12.9,38.3,45.5,41.9,5.1,3.9,86.5,2.9,0.7,0.7,23.4,34.5,92.8,88.5
29Q134,P.S. 134 Hollis,Queens,29,PK-5,338,131,445.5,46.6,12.2,52.4,133,447.1,44.4,8.3,27.9,45.5,40.1,26.6,41.7,25.7,1.2,0.6,4.1,23.4,21.3,87.0,83.8
20K179,P.S. 179 Kensington,Brooklyn,20,PK-5,628,305,441.9,36.4,11.5,35.3,314,453.6,54.5,20.1,45.5,45.4,40.4,67.4,2.5,16.6,12.6,0.5,0.5,16.4,47.0,88.4,88.8
17K191,P.S. 191 Paul Robeson,Brooklyn,17,3K-5,161,45,445.5,48.9,4.4,56.1,43,445.3,41.9,4.7,23.8,45.4,40.0,1.2,73.3,21.1,2.5,1.9,0.0,34.8,6.8,93.2,94.8
18K235,P.S. 235 Janice Marie Knight School,Brooklyn,18,3K-5,644,263,443.5,40.3,11.4,42.3,259,449.2,50.2,13.5,39.8,45.2,41.0,4.3,83.5,5.4,2.2,3.1,1.4,21.4,4.7,76.7,71.4
24Q013,P.S. 013 Clement C. Moore,Queens,24,3K-5,701,336,440.2,37.8,12.2,37.9,342,452.8,52.3,21.9,41.7,45.1,39.8,24.3,6.4,63.9,4.3,0.7,0.3,24.8,33.4,83.2,82.0
05M133,P.S. 133 Fred R Moore,Manhattan,5,3K-5,202,65,440.0,33.8,7.7,29.8,64,449.8,56.2,6.2,48.1,45.0,39.0,0.5,50.0,40.6,6.4,0.5,2.0,50.5,7.9,90.6,88.5
28Q117,P.S. 117 J. Keld / Briarwood School,Queens,28,PK-5,780,314,440.5,38.2,14.3,38.3,319,453.0,51.7,19.4,40.8,45.0,39.6,31.2,11.3,42.7,11.4,1.9,1.5,19.5,21.2,80.5,77.7
14K023,P.S. 023 Carter G. Woodson,Brooklyn,14,3K-5,225,79,444.3,40.5,19.0,43.0,81,452.8,49.4,21.0,38.4,44.9,40.7,0.4,48.0,48.0,2.7,0.9,0.0,35.6,12.9,93.3,94.6
06M278,Paula Hedbavny School,Manhattan,6,K-8,257,198,443.5,35.4,13.1,33.0,189,451.6,54.5,14.3,45.6,44.9,39.3,0.4,7.8,83.3,7.0,1.6,0.0,33.1,16.0,80.2,77.5
05M154,P.S. 154 Harriet Tubman,Manhattan,5,3K-5,193,54,442.0,33.3,11.1,28.7,55,449.9,56.4,14.5,48.3,44.8,38.5,1.0,62.2,30.6,4.1,1.0,1.0,36.3,15.0,91.2,90.4
17K705,Brooklyn Arts and Science Elementary School,Brooklyn,17,3K-5,274,103,446.4,42.7,21.4,46.7,98,451.6,46.9,20.4,33.8,44.8,40.3,3.3,37.6,33.2,18.6,7.3,0.0,29.6,6.2,67.5,70.2
07X031,P.S./M.S. 031 The William Lloyd Garrison,Bronx,7,3K-8,515,247,442.5,36.4,11.3,35.5,250,450.7,53.2,12.4,42.9,44.8,39.2,2.3,29.9,63.7,2.7,1.4,0.0,34.4,18.6,90.7,92.7
06M178,Professor Juan Bosch Public School,Manhattan,6,K-5,253,109,441.7,36.7,13.8,35.6,110,453.6,52.7,15.5,42.0,44.7,38.8,0.0,3.6,79.4,10.3,5.9,0.4,37.2,13.4,77.9,75.9
27Q064,P.S. 064 Joseph P. Addabbo,Queens,27,3K-5,489,216,443.3,34.7,15.3,31.9,227,451.8,54.6,16.7,45.8,44.7,38.9,73.8,2.7,18.8,1.8,0.2,2.5,15.3,30.3,86.7,86.4
30Q092,P.S. 092 Harry T. Stewart Sr.,Queens,30,3K-5,816,355,439.8,30.4,13.2,22.4,355,458.5,58.6,24.8,51.9,44.5,37.1,2.8,1.6,93.4,1.1,0.4,0.7,17.5,35.7,84.1,81.9
19K214,P.S. 214 Michael Friedsam,Brooklyn,19,3K-5,710,288,442.2,35.8,14.6,34.3,295,451.8,53.2,16.6,43.0,44.5,38.7,65.2,7.5,20.4,2.4,0.4,4.1,18.7,14.2,87.7,87.0
22K203,P.S. 203 Floyd Bennett School,Brooklyn,22,3K-5,498,193,442.4,35.8,10.4,34.2,194,450.2,53.1,10.8,42.8,44.4,38.5,13.1,65.3,13.1,5.4,1.6,1.6,25.1,14.5,74.3,73.1
17K189,P.S. 189 The Bilingual Center,Brooklyn,17,K-8,846,616,444.2,41.9,17.7,45.8,614,448.5,46.9,13.2,33.7,44.4,39.8,3.9,66.5,26.8,1.3,0.5,0.9,18.7,23.6,94.8,88.5
02M212,P.S. 212 Midtown West,Manhattan,2,PK-5,288,111,443.6,39.6,22.5,41.6,116,452.6,49.1,21.6,38.0,44.4,39.8,8.7,8.3,42.0,30.9,9.7,0.3,23.6,17.4,44.4,46.3
01M188,P.S. 188 The Island School,Manhattan,1,3K-8,313,230,441.4,33.9,7.8,30.2,188,451.5,54.8,13.8,46.0,44.4,38.1,1.6,29.7,64.2,1.3,1.0,2.2,36.7,17.3,>95%,>95%
29Q270,The Gordon Parks School,Queens,29,PK-8,516,344,446.3,45.3,15.1,49.9,337,445.6,43.3,8.0,26.1,44.3,38.0,5.8,79.3,10.7,0.6,1.9,1.7,22.5,3.1,82.0,67.1
11X194,P.S./M.S. 194,Bronx,11,K-8,1118,762,441.4,38.5,15.2,39.2,736,449.9,50.1,16.0,39.7,44.3,39.4,34.8,7.1,51.0,4.6,1.1,1.3,20.2,20.7,86.8,86.3
27Q090,P.S. 090 Horace Mann,Queens,27,3K-5,532,215,443.8,37.2,13.0,36.6,222,451.4,51.4,14.0,40.7,44.3,38.6,26.1,3.6,59.4,5.3,0.8,4.7,22.4,32.1,88.0,79.0
10X280,P.S./M.S. 280 Mosholu Parkway,Bronx,10,K-8,661,468,442.8,38.9,13.5,39.8,474,450.2,49.6,14.8,38.8,44.2,39.3,9.1,10.1,76.7,2.7,0.8,0.6,30.3,20.4,93.6,90.8
21K153,P.S. 153 Homecrest,Brooklyn,21,PK-5,490,230,440.0,33.9,11.7,30.2,233,450.7,54.5,11.2,45.7,44.2,37.9,25.9,2.4,30.2,37.3,1.2,2.9,22.2,33.9,89.0,84.0
20K971,"School of Math, Science, and Healthy Living",Brooklyn,20,K-5,150,84,442.1,39.3,14.3,40.6,84,452.2,48.8,16.7,37.0,44.0,38.8,20.7,0.7,70.0,8.0,0.7,0.0,20.0,35.3,88.0,86.6
30Q076,P.S. 076 William Hallet,Queens,30,3K-5,344,108,440.8,38.9,13.0,39.8,110,449.4,49.1,8.2,37.8,44.0,38.8,6.1,27.3,53.2,12.2,1.2,0.0,37.2,18.9,89.5,87.7
09X457,Sheridan Academy for Young Leaders,Bronx,9,3K-5,365,138,438.3,26.8,7.2,15.2,136,456.4,61.0,17.6,56.0,43.9,35.6,1.9,21.9,73.4,0.5,1.4,0.3,26.3,26.6,94.8,93.5
32K151,P.S. 151 Lyndon B. Johnson,Brooklyn,32,3K-5,268,114,442.3,36.8,15.8,35.7,114,451.5,50.9,17.5,40.4,43.9,38.1,0.7,9.3,84.3,3.7,1.5,0.4,19.4,35.4,88.4,90.2
24Q071,P.S. 071 Forest,Queens,24,3K-5,403,175,441.7,37.7,8.6,37.4,180,450.7,49.4,15.6,38.7,43.6,38.0,4.7,1.0,63.8,29.3,1.2,0.0,12.4,23.1,75.9,69.5
27Q056,P.S. 056 Harry Eichler,Queens,27,2-5,357,262,444.1,42.0,16.8,46.0,264,446.5,45.1,12.5,30.1,43.5,38.0,26.1,9.2,50.7,8.4,1.1,4.5,17.4,24.4,87.7,82.4
12X595,P.S. 595,Bronx,12,3K-5,235,95,441.5,37.9,15.8,38.0,98,451.1,49.0,15.3,37.5,43.4,37.8,1.3,26.0,69.8,0.9,1.7,0.0,31.9,26.0,94.5,94.2
30Q149,P.S. 149 Christa McAuliffe,Queens,30,3K-5,615,365,439.6,33.2,10.7,28.2,367,451.9,53.7,15.0,44.2,43.4,36.2,6.8,1.0,86.0,3.9,0.8,1.5,21.3,40.8,86.3,84.2
18K219,P.S. 219 Kennedy-King,Brooklyn,18,3K-5,334,98,445.4,41.8,11.2,45.7,98,451.4,44.9,15.3,29.6,43.4,37.6,0.9,73.4,20.1,4.5,0.3,0.6,30.8,13.2,91.3,87.7
22K245,P.S. 245,Brooklyn,22,PK-5,230,94,445.0,40.4,14.9,42.6,93,449.6,46.2,11.8,32.3,43.3,37.4,2.6,45.2,43.5,3.9,0.4,4.3,27.4,12.2,88.3,80.0
11X121,P.S. 121 Throop,Bronx,11,3K-5,612,268,444.0,41.4,17.2,44.9,269,447.7,45.0,14.5,29.8,43.2,37.4,14.9,40.7,38.7,2.8,1.5,1.1,27.3,7.5,81.9,77.8
23K150,P.S. 150 Christopher,Brooklyn,23,3K-5,104,44,439.3,34.1,4.5,30.9,44,447.9,52.3,6.8,41.5,43.2,36.2,1.9,62.5,32.7,0.0,1.0,1.9,26.9,10.6,>95%,>95%
25Q107,P.S. 107 Thomas A Dooley,Queens,25,PK-5,687,340,443.0,41.5,13.8,45.1,349,448.1,44.7,13.2,28.6,43.1,36.8,43.2,0.9,51.5,3.2,0.6,0.6,16.7,48.3,82.8,76.5
11X567,Linden Tree Elementary School,Bronx,11,PK-5,312,122,441.6,39.3,8.2,40.7,127,446.9,46.5,7.1,32.8,42.9,36.7,26.0,11.5,56.4,4.8,0.0,1.3,24.0,37.8,90.1,88.3
27Q065,P.S. 65 - The Raymond York Elementary School,Queens,27,3K-5,367,164,441.9,39.0,15.2,40.2,167,451.0,46.7,18.0,33.0,42.9,36.6,34.6,4.4,48.2,4.6,0.0,8.2,27.0,15.8,89.1,80.3
09X088,P.S. X088 - S. Silverstein Little Sparrow School,Bronx,9,K-5,77,42,442.3,40.5,9.5,42.9,42,444.6,45.2,4.8,30.3,42.9,36.6,1.3,26.0,70.1,1.3,1.3,0.0,7.8,31.2,94.8,94.2
08X392,Bronx Delta School,Bronx,8,PK-5,412,177,444.8,40.7,13.6,43.7,180,445.8,45.0,4.4,30.0,42.8,36.8,8.0,9.7,70.9,10.2,0.2,0.7,29.9,7.0,78.4,76.4
07X369,Young Leaders Elementary School,Bronx,7,3K-5,204,80,438.5,30.0,7.5,21.5,81,452.3,55.6,13.6,46.7,42.8,34.1,0.0,18.6,76.0,1.5,1.5,2.5,34.8,10.8,>95%,>95%
22K052,P.S. 052 Sheepshead Bay,Brooklyn,22,PK-5,662,285,440.1,35.4,14.7,33.2,284,451.1,50.0,18.3,39.4,42.7,36.3,19.3,10.1,15.3,52.7,2.0,0.6,13.1,27.5,84.3,81.5
14K018,P.S. 018 Edward Bush,Brooklyn,14,3K-5,145,57,439.7,40.4,14.0,42.4,58,449.3,44.8,10.3,29.3,42.6,35.8,2.1,14.5,66.9,13.1,2.8,0.7,24.8,13.1,73.8,72.4
31R022,P.S. 022 Graniteville,Staten Island,31,3K-5,665,281,440.4,37.0,9.6,36.0,287,449.5,48.1,14.3,35.6,42.5,35.8,8.9,16.5,62.6,7.8,3.6,0.6,40.9,22.6,84.4,80.9
06M128,P.S. 128 Audubon,Manhattan,6,3K-5,450,178,440.3,38.2,16.3,38.2,188,447.8,46.8,11.7,33.4,42.5,35.8,0.7,6.9,88.2,2.7,0.4,1.1,26.2,27.6,83.6,84.3
01M364,Earth School,Manhattan,1,PK-5,152,31,450.7,51.6,29.0,61.2,33,445.3,33.3,6.1,11.5,42.5,36.4,4.6,9.2,45.4,30.9,9.9,0.0,36.2,4.6,52.6,54.8
24Q110,P.S. 110,Queens,24,K-5,707,347,437.2,27.7,11.0,17.3,351,455.6,57.3,18.5,49.8,42.5,33.5,3.0,0.0,94.2,1.8,0.1,0.8,23.5,55.9,>95%,91.6
31R059,The Harbor View School,Staten Island,31,3K-5,227,83,443.3,37.3,10.8,36.9,82,447.2,47.6,6.1,34.6,42.5,35.7,4.4,34.8,39.2,16.7,4.0,0.4,35.2,0.0,67.4,72.8
31R019,P.S. 019 The Curtis School,Staten Island,31,PK-5,431,184,442.1,40.2,11.4,41.9,191,446.3,44.5,14.1,28.3,42.4,35.1,5.3,14.8,69.6,8.6,1.2,0.5,33.9,26.5,90.7,86.6
08X093,P.S. 093 Albert G. Oliver,Bronx,8,3K-5,372,111,437.2,26.1,7.2,14.0,111,453.4,58.6,15.3,51.7,42.3,32.9,3.8,28.2,62.9,2.4,0.3,2.2,21.8,7.5,89.0,86.6
13K054,P.S. 54 The Detective Rafael Ramos School,Brooklyn,13,3K-5,178,39,439.6,35.9,7.7,34.4,41,449.9,48.8,7.3,36.9,42.3,35.7,4.5,37.1,43.3,9.6,4.5,1.1,28.1,19.1,78.1,82.1
05M046,P.S. 046 Arthur Tappan,Manhattan,5,3K-8,313,171,443.5,40.9,12.3,44.2,172,448.4,43.6,12.8,26.9,42.3,35.5,0.0,48.6,47.6,2.6,0.3,1.0,40.9,7.3,93.3,>95%
03M145,"P.S. 145, The Bloomingdale School",Manhattan,3,3K-5,470,177,439.1,34.5,14.1,31.4,176,451.5,50.0,22.2,39.4,42.2,35.4,2.6,18.7,44.0,32.3,2.1,0.2,25.1,20.6,68.7,73.2
02M116,P.S. 116 Mary Lindley Murray,Manhattan,2,3K-5,436,130,440.5,41.5,16.2,45.4,138,444.9,42.8,12.3,25.2,42.1,35.3,10.8,16.5,40.1,28.0,4.6,0.0,24.1,22.9,55.0,56.8
11X103,P.S. 103 Hector Fontanez,Bronx,11,3K-5,789,230,443.3,34.8,7.8,32.0,245,449.8,49.4,8.2,38.5,42.1,35.3,1.6,26.2,64.3,3.4,1.0,3.4,29.0,21.7,92.8,93.0
07X043,P.S. 043 Jonas Bronck,Bronx,7,3K-5,345,132,438.4,38.6,8.3,39.6,134,447.7,45.5,14.2,30.9,42.1,35.2,1.4,17.4,77.4,1.4,2.0,0.3,24.1,12.2,93.6,94.1
29Q036,P.S. 036 Saint Albans School,Queens,29,PK-5,269,125,442.8,40.0,20.0,41.7,127,449.7,44.1,14.2,27.5,42.0,34.6,10.8,59.9,20.4,4.1,1.9,3.0,28.6,13.4,81.4,77.1
02M111,P.S. 111 Adolph S. Ochs,Manhattan,2,3K-5,398,133,441.0,40.6,17.3,43.3,136,446.9,43.4,13.2,26.4,42.0,34.9,10.1,17.1,54.3,15.6,2.3,0.8,24.9,27.4,73.6,74.6
24Q305,Learners and Leaders,Queens,24,3K-5,419,156,440.1,35.3,12.2,32.8,156,449.0,48.7,12.2,36.7,42.0,34.7,6.4,2.4,81.4,8.6,0.5,0.7,25.8,31.0,79.2,76.1
30Q148,P.S. 148 Queens,Queens,30,PK-5,622,281,440.8,32.7,12.1,27.7,293,452.7,51.2,17.1,40.6,42.0,34.1,16.9,1.9,77.5,2.3,0.5,0.5,25.7,40.5,85.2,80.3
27Q097,P.S. 097 Forest Park,Queens,27,PK-5,566,256,436.7,32.0,7.4,26.2,259,454.8,51.7,20.5,41.0,41.9,33.6,13.6,3.2,74.4,6.5,1.2,1.1,24.0,31.4,88.3,81.1
21K225,P.S. K225 - The Eileen E. Zaglin,Brooklyn,21,PK-8,1067,693,440.3,35.5,12.6,33.5,635,449.6,47.7,14.5,34.8,41.6,34.2,19.0,2.1,23.6,53.6,0.6,0.9,15.3,35.0,85.5,87.1
08X138,P.S. 138 Samuel Randall,Bronx,8,3K-5,504,198,439.9,39.4,10.1,40.8,208,443.6,43.8,9.1,27.1,41.6,34.0,7.7,24.2,63.9,1.8,1.0,1.4,19.8,9.5,89.9,90.8
06M152,P.S. 152 Dyckman Valley,Manhattan,6,3K-5,435,187,439.5,33.2,11.2,28.3,191,448.8,49.7,7.9,39.1,41.4,33.7,0.2,6.4,84.4,3.2,5.5,0.2,19.5,19.8,94.3,91.9
21K188,P.S. 188 Michael E. Berdy,Brooklyn,21,3K-5,233,72,444.3,40.3,9.7,42.1,80,447.2,42.5,13.8,24.6,41.4,33.4,6.4,49.4,33.5,9.0,1.3,0.4,30.5,13.7,93.1,95.0
29Q268,P.S./I.S. 268,Queens,29,K-8,705,468,442.1,38.2,11.8,38.5,461,447.9,44.5,12.6,28.2,41.4,33.4,25.5,10.6,51.9,2.3,0.4,9.1,21.4,29.8,84.0,85.0
19K213,P.S. 213 New Lots,Brooklyn,19,3K-5,202,71,439.9,28.2,1.4,18.6,79,452.1,54.4,13.9,45.3,41.3,32.0,8.9,59.4,21.8,6.9,1.0,2.0,24.8,14.9,89.6,91.3
31R084,The Waverly Academy of Empowered Learners,Staten Island,31,K-3,217,40,436.3,35.0,7.5,32.4,38,442.3,47.4,5.3,34.4,41.2,33.4,3.2,35.0,53.0,4.6,0.9,3.2,48.8,18.4,91.7,89.1
28Q050,P.S. 050 Talfourd Lawn Elementary School,Queens,28,3K-5,877,418,439.9,33.5,11.2,29.2,419,450.7,48.7,15.5,36.5,41.1,32.8,22.7,19.4,48.0,2.3,0.8,6.8,21.9,28.2,93.4,83.3
05M030,P.S. 030 Hernandez/Hughes,Manhattan,5,3K-5,160,47,444.5,38.3,6.4,38.9,48,448.8,43.8,14.6,27.1,41.0,33.0,0.6,55.0,41.2,1.3,0.6,1.3,45.0,15.6,>95%,>95%
03M149,P.S. 149 Sojourner Truth,Manhattan,3,3K-8,243,131,443.3,40.5,12.2,42.8,147,447.4,41.5,9.5,23.6,41.0,33.2,2.9,50.2,39.5,4.1,1.2,2.1,36.6,14.0,91.4,93.0
22K315,P.S. K315,Brooklyn,22,PK-5,509,240,441.5,36.2,15.0,35.1,239,445.8,45.6,8.8,31.2,40.9,33.2,12.2,43.0,30.3,7.5,6.1,0.8,29.5,14.5,84.5,86.2
27Q306,New York City Academy for Discovery,Queens,27,PK-5,343,158,439.3,36.1,14.6,34.8,162,448.5,45.7,14.8,31.6,40.9,33.2,16.9,6.7,67.1,4.7,0.9,3.8,27.4,24.5,86.9,83.5
05M318,Thurgood Marshall Academy Lower School,Manhattan,5,PK-5,146,71,445.4,42.3,8.5,46.2,71,446.7,39.4,5.6,20.1,40.8,33.2,0.0,75.3,19.2,0.0,0.7,4.1,28.1,4.8,89.7,89.0
08X048,P.S. 048 Joseph R. Drake,Bronx,8,3K-5,450,171,439.9,37.4,12.3,37.1,179,446.2,44.1,10.6,27.7,40.8,32.4,0.9,20.9,76.2,0.7,0.7,0.7,30.0,18.9,93.6,93.2
06M115,P.S. 115 Alexander Humboldt,Manhattan,6,PK-5,331,153,439.3,28.1,10.5,18.4,163,450.6,53.4,9.8,43.5,40.7,31.0,0.6,5.4,90.3,2.1,0.9,0.6,29.9,33.2,>95%,>95%
21K329,P.S. 329 Surfside,Brooklyn,21,3K-5,284,121,440.7,31.4,14.9,24.6,122,449.2,50.0,15.6,39.4,40.7,32.0,4.6,55.6,33.5,1.8,1.8,2.8,33.8,6.3,91.9,92.6
24Q091,P.S. 091 Richard Arkwright,Queens,24,3K-5,724,332,438.8,33.4,11.1,28.9,334,448.4,47.9,12.3,35.2,40.7,32.1,4.1,2.6,58.7,32.6,0.6,1.2,21.1,12.6,74.3,66.5
08X182,P.S. 182,Bronx,8,3K-5,373,155,438.8,35.5,7.7,33.4,158,446.5,45.6,8.9,31.0,40.5,32.2,8.0,25.7,59.2,5.4,0.3,1.3,26.3,13.1,90.6,89.5
17K006,Norma Adams Clemons Academy,Brooklyn,17,3K-5,573,215,441.8,37.7,16.7,37.3,215,444.4,43.3,5.6,25.7,40.5,31.5,2.3,61.6,27.9,6.1,1.2,0.9,23.6,22.9,93.2,87.5
01M142,P.S. 142 Amalia Castro,Manhattan,1,3K-5,336,107,440.0,32.7,9.3,27.5,108,444.9,48.1,6.5,35.7,40.4,31.6,0.9,19.0,75.6,1.8,1.5,1.2,30.4,14.9,>95%,92.9
17K398,P.S. 398 Walter Weaver,Brooklyn,17,PK-5,189,86,440.8,32.6,10.5,27.1,83,453.9,48.2,24.1,36.0,40.4,31.6,1.1,68.3,27.0,1.6,1.1,1.1,25.4,15.3,>95%,>95%
14K250,P.S. 250 George H. Lindsay,Brooklyn,14,3K-5,266,92,436.6,31.5,3.3,25.0,92,450.9,48.9,15.2,37.3,40.2,31.1,10.9,18.8,63.5,4.5,1.5,0.8,28.2,14.7,83.1,86.4
24Q068,P.S. 068 Cambridge,Queens,24,3K-5,465,185,439.6,34.1,9.7,30.6,188,444.1,46.3,4.8,32.4,40.2,31.5,2.6,2.8,81.5,9.2,3.0,0.9,28.4,19.8,81.7,76.6
24Q199,P.S. 199 Maurice A. Fitzgerald,Queens,24,K-5,450,182,436.0,31.3,9.9,24.5,186,450.0,48.9,17.2,37.4,40.1,30.9,21.6,1.6,68.2,6.7,1.3,0.7,23.8,47.3,78.7,79.7
19K346,P.S. 346 Abe Stark,Brooklyn,19,3K-5,410,167,440.3,33.5,12.6,29.4,165,447.1,46.7,5.5,32.9,40.1,31.2,1.5,67.1,25.6,3.7,1.2,1.0,39.5,3.7,86.1,88.5
30Q280,PS280Q: Home of the Lionhearts,Queens,30,K-5,406,222,439.4,32.0,10.8,26.0,225,450.2,48.0,16.4,35.5,40.0,30.7,6.9,0.7,84.7,2.5,0.2,4.9,20.0,56.2,91.4,84.9
29Q135,The Bellaire School,Queens,29,PK-5,646,286,440.3,33.9,10.5,30.3,289,447.8,46.0,8.7,31.9,40.0,31.1,41.5,21.2,20.6,4.3,3.4,9.0,20.7,20.0,74.9,69.6
10X315,P.S. 315 Lab School,Bronx,10,K-8,190,130,446.1,41.5,18.5,45.4,127,445.8,37.8,11.0,17.5,39.7,31.5,2.6,9.5,86.8,1.1,0.0,0.0,20.0,24.2,>95%,>95%
09X110,P.S. 110 Theodore Schoenfeld,Bronx,9,3K-5,258,90,440.1,37.8,5.6,37.8,94,445.0,41.5,7.4,23.4,39.6,30.6,0.0,33.3,60.9,5.4,0.4,0.0,29.1,22.1,>95%,>95%
31R010,Fort Hill Collaborative Elementary School,Staten Island,31,3K-5,204,67,437.5,28.4,10.4,18.8,67,449.0,50.7,9.0,40.2,39.6,29.5,3.4,28.4,55.4,6.4,4.4,2.0,46.1,12.7,93.6,91.4
07X179,Academy of Exploratory Arts,Bronx,7,3K-5,225,64,440.8,31.2,9.4,24.0,67,449.1,47.8,11.9,35.0,39.5,29.5,0.9,19.6,78.2,0.4,0.4,0.0,33.3,18.2,91.6,93.9
32K377,P.S. 377 Alejandrina B. De Gautier,Brooklyn,32,3K-5,207,74,435.3,23.0,10.8,8.2,75,453.5,56.0,20.0,47.8,39.5,28.0,0.0,10.1,85.0,3.4,1.0,0.5,18.8,31.9,88.4,88.7
08X119,The Dr. Emmett W. Bassett School,Bronx,8,PK-5,514,231,438.4,29.9,11.7,21.3,247,449.6,49.0,13.0,37.6,39.4,29.4,25.9,8.8,57.0,4.1,1.0,3.1,28.0,30.4,>95%,91.1
10X306,P.S. 306,Bronx,10,K-5,336,177,438.6,33.9,8.5,30.0,183,445.8,44.8,11.5,29.1,39.4,29.5,0.0,27.1,69.9,1.8,0.3,0.6,25.3,19.6,>95%,94.4
30Q171,P.S. 171 Peter G. Van Alst,Queens,30,3K-5,417,173,438.9,31.8,10.4,25.6,175,451.4,46.9,22.9,33.5,39.3,29.6,12.5,22.8,49.4,13.2,1.0,1.0,33.3,16.1,86.6,85.0
27Q104,P.S. 104 The Bays Water,Queens,27,PK-5,530,214,441.4,31.3,9.3,24.3,216,449.5,47.2,13.0,34.3,39.3,29.3,2.1,33.0,55.8,1.9,1.1,6.0,27.9,24.3,87.2,87.5
09X063,P.S. 063 Author's Academy,Bronx,9,3K-5,378,160,437.6,33.1,7.5,28.0,166,445.4,45.2,10.2,30.2,39.2,29.1,1.9,26.2,67.7,1.3,1.6,1.3,28.0,19.0,95.0,>95%
08X146,P.S. 146 Edward Collins,Bronx,8,3K-5,307,138,439.3,31.2,10.1,23.7,140,446.9,47.1,7.1,34.1,39.2,28.9,0.0,30.6,62.2,4.2,2.0,0.7,27.4,20.2,90.2,92.9
28Q080,PS 80  The Thurgood Marshall Magnet School of Mult,Queens,28,3K-5,355,135,442.5,35.6,14.1,33.7,139,446.2,42.4,12.2,24.5,39.0,29.1,5.1,68.7,16.9,1.1,3.1,5.1,33.5,8.7,81.7,77.6
32K123,P.S. 123 Suydam,Brooklyn,32,3K-5,428,188,439.3,29.8,11.7,21.0,191,449.0,48.2,11.5,35.9,39.0,28.4,1.9,6.1,88.1,2.3,0.0,1.6,25.7,38.1,88.6,89.2
09X126,P.S. 126 Dr Marjorie H Dunbar,Bronx,9,3K-5,462,162,439.7,30.2,9.3,22.2,168,449.7,47.6,10.7,34.7,38.9,28.4,0.2,25.5,70.6,1.3,1.7,0.6,25.1,24.2,>95%,>95%
19K557,Brooklyn Gardens Elementary School,Brooklyn,19,3K-5,367,140,442.9,35.0,8.6,32.4,138,444.2,42.8,4.3,25.2,38.9,28.8,2.5,57.5,37.6,1.4,0.3,0.8,31.6,8.7,94.0,94.0
09X028,P.S. 028 Mount Hope,Bronx,9,3K-5,522,256,436.1,28.9,11.3,19.5,258,450.3,48.8,16.7,37.1,38.9,28.3,1.0,18.8,78.9,0.4,0.4,0.4,29.9,31.8,>95%,>95%
28Q220,P.S. 220 Edward Mandel,Queens,28,PK-5,567,262,440.5,33.6,13.4,29.6,270,447.9,44.1,15.9,27.4,38.8,28.5,32.5,9.5,30.0,25.9,1.6,0.5,13.1,26.6,83.4,81.3
21K128,P.S. 128 Bensonhurst,Brooklyn,21,K-5,431,188,437.5,27.1,8.5,16.4,191,449.1,50.3,12.0,39.9,38.7,28.2,27.8,3.0,23.4,43.2,1.9,0.7,22.0,40.8,88.9,87.0
10X020,"PS/MS 20 P.O.George J. Werdann, III",Bronx,10,PK-8,787,551,440.1,34.5,10.9,31.5,548,446.3,42.9,12.0,25.4,38.7,28.4,7.1,11.6,75.0,4.3,0.8,1.3,25.9,22.2,92.5,94.7
04M182,The Bilingual Bicultural School,Manhattan,4,3K-5,234,108,438.9,30.6,11.1,22.7,109,451.4,46.8,16.5,33.3,38.7,28.0,0.9,3.4,91.5,3.4,0.0,0.9,29.5,49.1,91.5,93.8
04M146,P.S. 146 Ann M. Short,Manhattan,4,3K-5,300,113,437.6,31.0,5.3,23.4,115,445.3,46.1,8.7,32.0,38.5,27.7,2.3,25.0,68.0,1.3,2.3,1.0,43.7,13.3,93.7,94.3
10X310,P.S. 310 Marble Hill,Bronx,10,3K-5,420,177,439.7,32.2,12.4,26.5,181,446.4,44.8,12.2,28.8,38.5,27.7,0.2,13.6,84.3,0.2,1.4,0.2,29.0,20.7,92.9,92.4
05M161,P.S. 161 Pedro Albizu Campos,Manhattan,5,K-8,520,273,439.9,36.3,9.2,35.2,237,443.5,40.5,5.1,21.6,38.4,28.4,1.9,21.0,75.2,1.2,0.6,0.2,40.6,33.1,94.4,92.8
