DBN,School Name,Borough,District,Grade Span,Enrollment,ELA Students Tested,ELA Mean Scale Score,ELA % Proficient,ELA % Level 4,ELA Proficiency Percentile (NYC Schools),Math Students Tested,Math Mean Scale Score,Math % Proficient,Math % Level 4,Math Proficiency Percentile (NYC Schools),Average % Proficient,Average Proficiency Percentile (NYC Schools),% Asian and Pacific Islander,% Black,% Hispanic,% White,% Multi-Racial,% Native American,% Students with Disabilities,% English Language Learners,% Poverty,Economic Need Index
15K261,P.S. 261 Zipporiah Mills,Brooklyn,15,3K-5,502,174,449.1,48.3,20.1,54.9,175,454.0,56.6,16.6,48.4,52.4,51.7,6.6,13.5,18.5,49.0,12.2,0.0,23.7,2.6,29.7,34.2
19K938,P.S. 938,Brooklyn,19,3K-5,331,116,447.6,50.9,14.7,60.0,119,450.2,53.8,5.9,44.3,52.3,52.1,4.2,18.4,73.1,2.1,0.6,1.2,26.9,19.3,89.7,85.7
27Q100,P.S. 100 Glen Morris,Queens,27,3K-5,626,258,445.6,40.7,14.3,43.8,257,458.9,63.8,23.0,59.2,52.3,51.5,36.7,5.9,19.5,2.9,2.7,32.3,21.4,9.3,79.7,70.8
27Q232,P.S. 232 Lindenwood,Queens,27,PK-8,810,462,447.2,47.6,19.9,54.4,381,453.4,56.7,14.7,48.7,52.2,51.5,12.1,7.2,55.7,21.1,2.1,1.5,26.5,8.8,70.0,58.8
15K230,P.S. 230 Doris L. Cohen,Brooklyn,15,3K-5,899,375,449.9,50.9,21.6,60.2,383,454.0,53.3,19.8,43.3,52.1,51.7,49.5,2.6,31.9,13.8,2.0,0.2,19.9,24.5,75.8,76.6
10X396,P.S. 396,Bronx,10,3K-5,218,91,442.0,46.2,9.9,51.7,89,452.2,57.3,13.5,50.2,51.7,51.0,1.8,18.8,76.1,2.8,0.5,0.0,38.1,20.2,89.4,90.1
06M132,P.S. 132 Juan Pablo Duarte,Manhattan,6,K-5,186,96,448.8,45.8,14.6,50.7,96,456.2,57.3,18.8,50.1,51.6,50.4,0.5,4.3,92.5,1.6,1.1,0.0,47.8,42.5,>95%,94.5
09X555,Mount Eden Children's Academy,Bronx,9,3K-5,357,166,446.7,41.0,14.5,44.3,168,456.0,61.9,16.7,56.5,51.4,50.4,0.3,17.6,81.2,0.3,0.3,0.3,23.5,16.8,>95%,93.4
15K169,P.S. 169 Sunset Park,Brooklyn,15,K-5,710,309,442.6,35.6,12.0,33.9,338,461.4,67.2,24.6,65.0,51.4,49.5,58.7,0.3,37.7,2.8,0.4,0.0,20.7,53.7,>95%,92.8
23K284,"The Gregory Jocko Jackson School of Sports, Art, a",Brooklyn,23,3K-5,208,77,453.1,57.1,23.4,70.5,79,449.4,45.6,8.9,31.0,51.4,50.8,0.5,66.3,30.8,1.9,0.5,0.0,26.0,6.2,>95%,>95%
